运动项目ID,运动项目名称,运动项目类别,消耗热量,训练步骤（文字描述）
200011,HIIT唤醒,HIIT燃脂,363,侧向开合跳（20组），半蹲（10组），原地摆臂快跑（20组），靠墙俯卧撑（12组），快速踮脚（20组）
200012,HIIT活力,HIIT燃脂,421,向前肩部绕环（20组），关节环绕（20组），开合跳（30组），深蹲（10组），高抬腿（20组），跨步（12组），开合跳（30组），平板支撑（30组），全身舒展（5组）
200013,HIIT全身燃动,HIIT燃脂,574,大腿内侧动态拉伸（50组），臀部动态拉伸（20组），向前肩部绕环（20组），关节环绕（20组），开合跳（30组），深蹲（10组），高抬腿（20组），跨步（12组），开合跳（30组），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），肩前侧拉伸（30组）
200014,HIIT适应性训练,HIIT燃脂,482,向前肩部绕环（20组），左右小跳（20组），腹肌激活（30组），平板支撑（30组），猫式伸展（8组），关节环绕（20组），开合跳（30组），深蹲（10组），高抬腿（20组），跨步（12组），开合跳（30组），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），肩前侧拉伸（30组）
200015,HIIT燃脂初级,HIIT燃脂,524,手臂环绕（20组），俯身大腿后侧交替拉伸（10组），左右小跳（20组），腹肌激活（30组），平板支撑（30组），猫式伸展（8组），关节环绕（20组），开合跳（30组），深蹲（10组），高抬腿（20组），跨步（12组），开合跳（30组），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），肩前侧拉伸（30组），靠墙左侧跟腱拉伸（30组），靠墙右侧跟腱拉伸（30组）
200016,HIIT燃脂进阶,HIIT燃脂,685,开合跳（30组），支撑弓步转体（6组），手臂环绕（20组），俯身大腿后侧交替拉伸（10组），左右小跳（20组），腹肌激活（30组），平板支撑（30组），猫式伸展（8组），关节环绕（20组），开合跳（30组），深蹲（10组），高抬腿（20组），跨步（12组），开合跳（30组），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），肩前侧拉伸（30组）
200017,HIIT燃脂强化,HIIT燃脂,786,支撑弓步转体（6组），开合跳（30组），手臂环绕（20组），俯身大腿后侧交替拉伸（10组），左右小跳（20组），腹肌激活（30组），平板支撑（30组），猫式伸展（8组），关节环绕（20组），开合跳（30组），深蹲（10组），高抬腿（20组），跨步（12组），开合跳（30组），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），肩前侧拉伸（30组），靠墙左侧跟腱拉伸（30组），靠墙右侧跟腱拉伸（30组）
200018,李现 HIIT燃脂挑战,HIIT燃脂,793,原地慢跑（25秒），开合跳（25组），勾腿跳（25组），高抬腿（25组），原地摆臂快跑（25组），深蹲跳（12组），左右小跳（20组），跨步（12组），开合跳（30组），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），开合跳（30组），靠墙左侧跟腱拉伸（30组），靠墙右侧跟腱拉伸（30组）
200019,健身单车初级HIIT,HIIT燃脂,1075,慢速骑行（180秒），快速骑行（120秒），慢速骑行（60秒），快速骑行（60秒），慢速骑行（90秒），快速骑行（60秒），慢速骑行（90秒），快速骑行（60秒），慢速骑行（180秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），扶椅左腿前侧拉伸（25秒），扶椅右腿前侧拉伸（25秒），俯身左腿静态拉伸（25秒），俯身右腿静态拉伸（25秒），靠墙左侧跟腱拉伸（30组），靠墙右侧跟腱拉伸（30组）
200020,健身单车进阶HIIT,HIIT燃脂,1324,慢速骑行（300秒），快速骑行（120秒），慢速骑行（60秒），快速骑行（60秒），慢速骑行（90秒），快速骑行（60秒），慢速骑行（90秒），快速骑行（60秒），慢速骑行（180秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），慢速骑行（60秒），俯身快速骑行（45秒），扶椅左腿前侧拉伸（25秒），扶椅右腿前侧拉伸（25秒），俯身左腿静态拉伸（25秒），俯身右腿静态拉伸（25秒），靠墙左侧跟腱拉伸（30组），靠墙右侧跟腱拉伸（30组）
200021,太极Fit · 意虚拳实,有氧操课,965,下肢激活（280秒），拳出如龙（270秒），身随心动（275秒），柔中带刚（313秒）
200022,Moves · 舞律纤臂,有氧操课,1068,舞感初识（247秒），韵律激活（228秒），炫舞时刻（183秒），舞感达人（284秒），舞力燃动（124秒），拉伸放松（193秒）
200023,Moves · 舞力翘臀,有氧操课,1258,舞感初识（247秒），舞出风采（188秒），舞步进阶（206秒），舞感达人（278秒），臀部激活（167秒），翘臀打造（214秒），全身舒展（191秒）
200024,太极Fit · 身展心畅,有氧操课,869,全身舒展（274秒），渐入佳境（260秒），游龙出海（255秒），静息拉伸（243秒）
200025,Moves · 舞感蛮腰,有氧操课,1235,舞感初识（247秒），舞步律动（215秒），舞感达人（284秒），臀腿燃烧（124秒），蛮腰养成（371秒）
200026,有氧操 · 燃脂派对,有氧操课,1081,心率提升（1组），心律进阶（1组），脂肪燃烧（1组），腹肌打造（1组），放松（1组）
200027,有氧操 · 动感舞步入门,有氧操课,857,动感舞步入门一（333秒），动感舞步入门二（328秒），动感舞步入门三（295秒），动感舞步入门四（302秒）
200028,有氧操 · 动感舞步初级,有氧操课,982,动感舞步初级一（291秒），动感舞步初级二（309秒），动感舞步初级三（290秒），动感舞步初级四（292秒）
200029,有氧操 · 动感舞步进阶,有氧操课,1091,动感舞步进阶一（296秒），动感舞步进阶二（319秒），动感舞步进阶三（300秒），动感舞步进阶四（312秒）
200030,有氧操 · 活力燃脂,有氧操课,783,热身（189秒），渐入佳境（343秒），有氧冲刺（292秒），臀腿训练（191秒）
200031,跑步膝预防,热身拉伸,592,膝关节热身（20组），靠墙半蹲（45秒），靠墙半蹲（45秒），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），仰卧左腿后侧动态拉伸（12组），仰卧右腿后侧动态拉伸（12组），仰卧左腿后侧动态拉伸（12组），仰卧右腿后侧动态拉伸（12组），
200032,大体重减脂辅助训练,热身拉伸,856,向前肩部环绕（15秒），向后肩部环绕（15秒），侧平举前画圈（10秒），侧平举后画圈（10秒），肩部深层激活（10组），靠墙左侧跟腱拉伸（30组），靠墙右侧跟腱拉伸（30组），左肩拉伸（15秒），右肩拉伸（15秒）
200033,上肢综合热身,热身拉伸,935,站姿颈部左后侧拉伸（15秒），站姿颈部右后侧拉伸（15秒），站姿颈部前侧拉伸（15秒），向前肩部环绕（15秒），向后肩部环绕（15秒），侧平举前画圈（10秒），侧平举后画圈（10秒），肩部深层激活（10组），靠墙左侧跟腱拉伸（30组），靠墙右侧跟腱拉伸（30组），左侧小臂前侧拉伸（15秒），右侧小臂前侧拉伸（15秒）
200034,下肢综合热身,热身拉伸,1036,勾脚踮脚（20秒），支撑弓步转体（6组），开合跳（30组），俯身大腿后侧交替拉伸（10组），左右小跳（20组），关节环绕（20组），开合跳（30组），深蹲（10组），高抬腿（20组），跨步（12组），开合跳（30组），左腿前侧跪式拉伸（30组），右腿前侧跪式拉伸（30组），弓步后转体（10组）
200035,综合热身,热身拉伸,495,向前肩部环绕（15秒），手臂环绕（20秒），弓步后转体（10组），早安式体前屈（10组），平板支撑交替抬腿（10组），开合跳（30组）
200036,跑前热身,热身拉伸,824,膝关节热身（20秒），臀部动态拉伸（20秒），向前肩部环绕（15秒），向后肩部环绕（15秒），侧平举前画圈（10秒），侧平举后画圈（10秒），肩部深层激活（10组），左腿内侧拉伸（30组），右腿内侧拉伸（30组）
200037,跑前准备,热身拉伸,357,大腿内侧拉伸（10组），扶椅左腿前侧拉伸（20秒），扶椅右腿前侧拉伸（20秒），俯身大腿后侧交替拉伸（10组），膝关节热身（20秒），臀部动态拉伸（20秒），弓步后转体（10组）
200038,跑后拉伸,热身拉伸,341,俯身左腿后侧静态拉伸（20秒），俯身右腿后侧静态拉伸（20秒），左腿前侧拉伸（30组），右腿前侧拉伸（30组），左腿前侧拉伸（30组），右腿前侧拉伸（30组），扶墙左腿前侧拉伸（20秒），扶墙右腿前侧拉伸（20秒），上背部拉伸（20秒），腰部拉伸（20秒），靠墙左侧小腿后侧拉伸（30秒），靠墙右侧小腿后侧拉伸（30秒）
200039,下肢拉伸,热身拉伸,248,大腿内侧拉伸（10组），左腿前侧拉伸（30组），右腿前侧拉伸（30组），左腿前侧拉伸（30组），右腿前侧拉伸（30组），仰卧左腿后侧拉伸（30秒），仰卧右腿后侧拉伸（30秒），靠墙左侧小腿后侧拉伸（30秒），靠墙右侧小腿后侧拉伸（30秒）
200040,躯干拉伸,热身拉伸,269,腹部左侧拉伸（30秒），腹部右侧拉伸（30秒），左侧腰部拉伸（30秒），右侧腰部拉伸（30秒），腹部拉伸（30秒），跪姿背部拉伸（30秒）
